Timestamp,AccX_G,AccY_G,AccZ_G,GyroX_DPS,GyroY_DPS,GyroZ_DPS,Lat,Lon,Altitude,Sats,PlantStat
21929,0.0588,0.0313,1.0540,-2.60,-3.16,-1.92,0.0,0.0,0.0,0,1
22029,0.0342,0.0242,1.0625,0.23,8.85,-1.58,0.0,0.0,0.0,0,1
22129,0.0432,0.0315,1.0615,-2.60,1.21,-1.27,0.0,0.0,0.0,0,1
22230,0.1023,0.0437,1.0188,3.43,-13.37,-1.60,0.0,0.0,0.0,0,1
22330,0.0520,0.0276,1.0366,-1.32,14.90,-0.08,0.0,0.0,0.0,0,1
22430,0.0842,0.0396,1.0579,-2.60,6.07,-0.21,0.0,0.0,0.0,0,1
22530,0.0464,0.0225,1.0449,-1.33,6.75,0.24,0.0,0.0,0.0,0,1
22630,0.0537,0.0313,1.0664,-1.81,5.15,1.01,0.0,0.0,0.0,0,1
22730,0.0535,0.0325,1.0393,-2.34,-1.14,0.27,0.0,0.0,0.0,0,1
22830,0.0688,0.0408,1.0757,-2.47,0.25,0.23,0.0,0.0,0.0,0,1
22930,0.0642,0.0366,1.0432,-1.68,5.22,-0.37,0.0,0.0,0.0,0,1
23030,0.0674,0.0349,1.0669,-3.37,5.73,-1.27,0.0,0.0,0.0,0,1
23130,0.0413,0.0178,1.0627,-3.63,16.98,-1.88,0.0,0.0,0.0,0,1
23230,0.0266,0.0188,1.0312,-2.41,8.71,-2.45,0.0,0.0,0.0,0,1
23330,0.0330,0.0215,1.0632,-3.19,-7.63,-2.78,0.0,0.0,0.0,0,1
23430,0.0476,0.0173,1.0076,-2.35,3.00,-2.02,0.0,0.0,0.0,0,1
23617,0.0161,0.0376,1.0325,-1.38,-3.52,3.55,0.0,0.0,0.0,0,0
23717,0.1006,0.0149,1.0818,-3.02,-23.92,2.05,0.0,0.0,0.0,0,0
23817,0.0515,0.0178,1.0461,-1.19,16.97,3.61,0.0,0.0,0.0,0,0
23917,0.0911,0.0276,1.0576,-1.25,1.32,1.06,0.0,0.0,0.0,0,0
24017,0.0569,0.0103,1.0623,-0.19,10.08,-1.47,0.0,0.0,0.0,0,0
24117,0.0525,0.0251,1.0503,-0.73,6.98,-1.39,0.0,0.0,0.0,0,0
24217,0.0698,0.0044,1.0488,2.68,17.81,-4.53,0.0,0.0,0.0,0,0
24317,0.0417,0.0276,1.0906,3.18,13.86,-1.70,0.0,0.0,0.0,0,0
24417,0.1025,0.0566,1.0562,-4.21,-37.40,-3.02,0.0,0.0,0.0,0,0
24553,0.1069,0.0588,1.1047,-2.85,56.66,3.46,0.0,0.0,0.0,0,0
